Sbj,Acq,File,SSIM,PSNR,FSIM,VIF,LPIPS,AES,TG,NGS,GE,IE
19-02-2021,MID00256,flirt_fnmoco.nii.gz,0.9668723510798751,25.837613720893113,0.9790940284729004,0.4402391016483307,0.050643190741539,0.009304726936299202,1.9852246469356425,0.0005763113312478352,434.4626302418163,557.6890041523703
19-02-2021,MID00256,flirt_nomoco.nii.gz,0.9370690992457326,22.45880194576082,0.9655376672744751,0.34155917167663574,0.0742868185043335,0.008811640295921637,1.4656490378864413,0.0005629394140276699,423.00623351462696,560.1907815320636
19-02-2021,MID00256,flirt_ref.nii.gz,1.0,0.0,1.0,1.0,0.0,0.009960433256894389,2.4246005001283204,0.0005609514591960752,435.5828485289552,553.5098892891183
19-02-2021,MID00256,flirt_tclmoco.nii.gz,0.9703860313860209,26.63920842197136,0.9807913303375244,0.4674384295940399,0.049998149275779724,0.009004615787759025,1.9074652596807562,0.0004978428922563381,440.5249162952704,557.7750007377188
19-02-2021,MID00256,flirt_tclmocos.nii.gz,0.9711535157667666,26.5808742379485,0.9812866449356079,0.4701409339904785,0.05029931664466858,0.009042907132745028,1.8900351515203802,0.0004963185653064059,441.0535150352606,557.7994286842126
19-02-2021,MID00257,flirt_fnWMmoco.nii.gz,0.984120935674607,29.643496413225247,0.988886833190918,0.5719079971313477,0.03876417502760887,0.009376950503969222,2.053539790305049,0.0005296676217410783,436.02985092942816,557.0197123809128
19-02-2021,MID00257,flirt_fnmoco.nii.gz,0.9800626901614726,28.739718042275953,0.9865756034851074,0.5378088355064392,0.04603937268257141,0.009285112162706676,1.9914416109351576,0.0005269878674838138,435.3767416945768,557.9783292788088
19-02-2021,MID00257,flirt_nomoco.nii.gz,0.9566066989324802,23.54401072179789,0.9734625220298767,0.3845842480659485,0.06367334723472595,0.009163906827136798,1.7592839102451907,0.00048554337679512517,429.8920352734083,560.4551620710531
19-02-2021,MID00257,flirt_ref.nii.gz,1.0,0.0,1.0,1.0,0.0,0.009960433256894389,2.4246005001283204,0.0005609514591960752,435.5828485289552,553.5098892891183
19-02-2021,MID00257,flirt_tclmoco.nii.gz,0.9842587562986411,29.77485563726402,0.9894627332687378,0.5832808017730713,0.035980552434921265,0.009297571428495842,2.0434418671194137,0.0005349355392169421,438.5779450721202,557.0316770091115
19-02-2021,MID00257,flirt_tclmocos.nii.gz,0.9842160470876795,29.983876014110006,0.9893701672554016,0.5796166062355042,0.03784788027405739,0.009184833491710497,2.017144882161187,0.0005425966044972948,438.8258549147539,557.0402846207077
