Metric,Correlation Coefficient,P-Value
SSIM,0.8333057439993332,1.9576680417055159e-47
PSNR,0.6862416698162385,2.946204622370825e-26
FSIM,nan,nan
VIF,nan,nan
LPIPS,nan,nan
AES,0.5925866520410873,5.803778181613828e-22
TG,0.5976306340659824,2.11904601899184e-22
NGS,0.059384964012559986,0.384021124843422
GE,-0.09382162164891625,0.1684702457212786
IE,-0.11863933750958541,0.0812050931398049
