Metric,Correlation Coefficient,P-Value
SSIM,0.8333057439993332,1.9576680417055159e-47
PSNR,0.636285291514429,1.0569427546154598e-21
FSIM,nan,nan
VIF,nan,nan
LPIPS,nan,nan
AES,0.5213253083270273,1.6074001944990663e-16
TG,0.5524156606404376,9.79302872762753e-19
NGS,0.0628146510731243,0.3571115109944538
GE,-0.05874672585917287,0.3891614485820981
IE,-0.0860027444441653,0.2069769619076187
