Metric,Correlation Coefficient,P-Value
SSIM,0.845767445403669,3.625536040093958e-50
PSNR,0.6183964550484845,2.877074601212642e-20
FSIM,nan,nan
VIF,nan,nan
LPIPS,nan,nan
AES,0.08012310574005163,0.2398504365204354
TG,0.027809035697725536,0.6837395988539733
NGS,0.0628146510731243,0.3571115109944538
GE,-0.05874672585917287,0.3891614485820981
IE,-0.304602684034814,4.8717910344280176e-06
