Subject,Acquisition,Radiographer1,Radiographer2,Radiologist1,Radiologist2
sub-09,acq-mpragepmcoff_rec-wore_run-03,2,1,1,1
sub-09,ref_mprage,5,5,5,4
sub-09,acq-mpragepmcon_rec-wre_run-02,4,4,4,3
sub-09,acq-mpragepmcon_rec-wore_run-02,4,4,4,4
sub-09,acq-mpragepmcon_rec-wre_run-03,5,5,5,4
sub-09,acq-mpragepmcon_rec-wore_run-03,3,3,4,3
sub-09,acq-mpragepmcon_rec-wore_run-01,5,5,5,4
sub-10,acq-mpragepmcoff_rec-wre_run-02,3,4,3,4
sub-10,acq-mpragepmcoff_rec-wore_run-02,3,2,3,3
sub-10,acq-mpragepmcoff_rec-wre_run-03,3,2,3,3
sub-10,acq-mpragepmcoff_rec-wore_run-03,1,1,1,1
sub-10,ref_mprage,5,5,5,4
sub-10,acq-mpragepmcon_rec-wre_run-02,4,5,5,4
sub-10,acq-mpragepmcon_rec-wore_run-02,4,4,4,4
sub-10,acq-mpragepmcon_rec-wre_run-03,3,2,4,3
sub-10,acq-mpragepmcon_rec-wore_run-03,2,1,2,2
sub-10,acq-mpragepmcon_rec-wore_run-01,4,5,5,4
sub-11,acq-mpragepmcoff_rec-wre_run-02,4,3,4,4
sub-11,acq-mpragepmcoff_rec-wore_run-02,3,3,4,4
sub-11,acq-mpragepmcoff_rec-wre_run-03,3,3,4,3
sub-11,acq-mpragepmcoff_rec-wore_run-03,1,2,1,1
sub-11,ref_mprage,5,5,5,4
sub-11,acq-mpragepmcon_rec-wre_run-02,5,4,5,4
sub-11,acq-mpragepmcon_rec-wore_run-02,4,3,4,4
sub-11,acq-mpragepmcon_rec-wre_run-03,5,5,5,4
sub-11,acq-mpragepmcon_rec-wore_run-03,3,2,4,3
sub-11,acq-mpragepmcon_rec-wore_run-01,5,5,5,3
sub-12,acq-mpragepmcoff_rec-wre_run-02,3,2,3,3
sub-12,acq-mpragepmcoff_rec-wore_run-02,3,2,2,3
sub-12,acq-mpragepmcoff_rec-wre_run-03,2,1,2,2
sub-12,acq-mpragepmcoff_rec-wore_run-03,2,1,1,1
sub-12,ref_mprage,5,5,5,5
sub-12,acq-mpragepmcon_rec-wre_run-02,4,5,5,4
sub-12,acq-mpragepmcon_rec-wore_run-02,4,4,4,3
sub-12,acq-mpragepmcon_rec-wre_run-03,4,4,5,3
sub-12,acq-mpragepmcon_rec-wore_run-03,3,2,3,3
sub-12,acq-mpragepmcon_rec-wore_run-01,4,5,5,4
sub-13,acq-mpragepmcoff_rec-wre_run-02,3,2,3,3
sub-13,acq-mpragepmcoff_rec-wore_run-02,2,2,1,2
sub-13,acq-mpragepmcoff_rec-wre_run-03,3,3,3,3
sub-13,acq-mpragepmcoff_rec-wore_run-03,2,1,1,2
sub-13,ref_mprage,5,5,5,4
sub-13,acq-mpragepmcon_rec-wre_run-02,4,3,4,4
sub-13,acq-mpragepmcon_rec-wore_run-02,3,2,3,3
sub-13,acq-mpragepmcon_rec-wre_run-03,4,4,4,4
sub-13,acq-mpragepmcon_rec-wore_run-03,3,2,3,3
sub-13,acq-mpragepmcon_rec-wore_run-01,5,5,5,4
sub-14,acq-mpragepmcoff_rec-wre_run-02,4,3,4,4
sub-14,acq-mpragepmcoff_rec-wore_run-02,3,2,3,3
sub-14,acq-mpragepmcoff_rec-wre_run-03,3,2,3,2
sub-14,acq-mpragepmcoff_rec-wore_run-03,2,1,2,1
sub-14,ref_mprage,5,5,5,4
sub-14,acq-mpragepmcon_rec-wre_run-02,5,5,5,4
sub-14,acq-mpragepmcon_rec-wore_run-02,4,4,4,4
sub-14,acq-mpragepmcon_rec-wre_run-03,4,4,5,4
sub-14,acq-mpragepmcon_rec-wore_run-03,4,4,4,4
sub-14,acq-mpragepmcon_rec-wore_run-01,5,5,5,4
