Sbj,Acq,File,SSIM,PSNR,AES,TG,NGS,GE,IE,Score
18-11-2020,MID00294,flirt_nomoco.nii.gz,0.9337557085534514,24.611725340304552,0.043142926821206025,64.47928174012273,0.000575449214156516,424.0157885460168,531.6291753716181,1
18-11-2020,MID00294,flirt_ref.nii.gz,1.0,0.0,0.05155520470858045,89.81394136154967,0.0006469941219312917,414.8846417924318,524.6353619647966,4
18-11-2020,MID00294,flirt_fnmoco.nii.gz,0.9559568817312619,26.70444109205514,0.04382365812938555,70.7465460997814,0.0006319440546217372,422.47417580130355,531.0502803331528,2
18-11-2020,MID00294,flirt_fnWMmoco.nii.gz,0.9704303067155505,28.00106857412466,0.04521011012953298,76.24752078872535,0.0006174687296375131,423.3315599054806,530.017606946557,3
18-11-2020,MID00295,flirt_tclmoco.nii.gz,0.964989053555071,26.50038921707209,0.042562766406612454,73.68504224639561,0.0005867138134831138,423.93991078824183,530.7211820308717,2
18-11-2020,MID00295,flirt_tclmocos.nii.gz,0.9664133542436799,26.47916458076706,0.043070506299432355,73.031687870833,0.0005911601680313088,423.8972611019919,530.6594427226715,3
18-11-2020,MID00295,flirt_nomoco.nii.gz,0.9217442012355626,23.028095359382093,0.042228203958647924,62.78326082151424,0.0005889316031446984,415.94780931335913,533.9203392251384,1
18-11-2020,MID00295,flirt_ref.nii.gz,1.0,0.0,0.05155520470858045,89.81394136154967,0.0006469941219312917,414.8846417924318,524.6353619647966,4
18-11-2020,MID00295,flirt_fnmoco.nii.gz,0.946096874558536,25.198101443222033,0.04288476651781805,68.08155038152046,0.0006282429895727645,419.00412688436904,531.1579468068762,1
18-11-2020,MID00295,flirt_fnWMmoco.nii.gz,0.9630187784988746,26.524679782951335,0.04413493327717122,72.13625192352092,0.0006085433414998729,423.2313104684573,530.7253320200234,3
19-02-2021,MID00253,flirt_tclmoco.nii.gz,0.9959915354266992,36.048066300981745,0.051195062129539275,95.19820679568888,0.0005498135724444241,435.69973555015696,538.5270454987779,4
19-02-2021,MID00253,flirt_tclmocos.nii.gz,0.996379670053746,36.3071837911209,0.05126932452110391,98.1679165084647,0.0005548620471650844,436.4919287313082,537.9699607497785,4
19-02-2021,MID00253,flirt_nomoco.nii.gz,1.0,0.0,0.052385115607780336,100.29751841226015,0.000560951459196074,435.5828485289552,537.2489629876104,Not Found
19-02-2021,MID00253,flirt_ref.nii.gz,1.0,0.0,0.052385115607780336,100.29751841226015,0.000560951459196074,435.5828485289552,537.2489629876104,4
19-02-2021,MID00253,flirt_fnmoco.nii.gz,0.9990803846773804,42.213405315384975,0.05213861708720092,99.31781804004493,0.0005596107876112496,435.48193660966894,537.352172234207,4
19-02-2021,MID00253,flirt_fnWMmoco.nii.gz,0.999135239423366,43.06528558636223,0.05188252526485972,98.80542362041007,0.0005599846691256672,435.26534780608006,537.5906199845532,4
19-02-2021,MID00254,flirt_tclmoco.nii.gz,0.973033342154299,28.18909391098014,0.046777142615619896,83.5569981374483,0.0005427392580841198,441.1852001507319,542.6238960067203,4
19-02-2021,MID00254,flirt_tclmocos.nii.gz,0.9746732261813059,28.64492949104983,0.04678034478363065,83.44925438495186,0.0005430965040031284,440.9124382304541,542.5602501365611,4
19-02-2021,MID00254,flirt_nomoco.nii.gz,0.9645427228014396,26.38706273173746,0.04770061183359848,84.2734686717512,0.0005523055846961632,440.39690261843,542.0227866788221,4
19-02-2021,MID00254,flirt_ref.nii.gz,1.0,0.0,0.052385115607780336,100.29751841226015,0.000560951459196074,435.5828485289552,537.2489629876104,4
19-02-2021,MID00254,flirt_fnmoco.nii.gz,0.9704145383047269,27.63598547610175,0.047946542987418246,84.76006658852742,0.0005538815153126333,440.70652828125014,541.8988824891551,4
19-02-2021,MID00254,flirt_fnWMmoco.nii.gz,0.9724487660610148,28.133910235968735,0.048139358662648984,85.49023402542375,0.0005470508165921271,440.9565084238741,541.902192163924,4
19-02-2021,MID00256,flirt_tclmoco.nii.gz,0.9689232988588188,26.671066580103435,0.04619438089678188,79.82803203664035,0.0004978428922563376,440.5249162952704,543.7007075611509,3
19-02-2021,MID00256,flirt_tclmocos.nii.gz,0.9696245860910062,26.632747737395665,0.045941858349817524,79.41433806140785,0.0004963185653064042,441.0535150352606,543.7617085454485,4
19-02-2021,MID00256,flirt_nomoco.nii.gz,0.9362384448012624,22.632321489950087,0.043100277511651026,69.10033288321507,0.0005629394140276691,423.00623351462696,547.2223866005429,1
19-02-2021,MID00256,flirt_ref.nii.gz,1.0,0.0,0.052385115607780336,100.29751841226015,0.000560951459196074,435.5828485289552,537.2489629876104,4
19-02-2021,MID00256,flirt_fnmoco.nii.gz,0.9647620350500202,26.147570974675148,0.0472716773718123,78.69616909000237,0.0005763113312478342,434.46263024181627,543.5530889158192,4
19-02-2021,MID00256,flirt_fnWMmoco.nii.gz,0.9724999869478133,27.761467967623943,0.04810649996684116,84.61753121993507,0.0005367172542975726,438.7102807827932,542.0174880076192,4
19-02-2021,MID00257,flirt_tclmoco.nii.gz,0.983852013719936,30.45253437522422,0.046623087342973296,80.7342197449722,0.0005349355392169425,438.5779450721202,542.4710326888126,5
19-02-2021,MID00257,flirt_tclmocos.nii.gz,0.9836611791831443,30.374927966603952,0.04697243894892143,80.94715297532028,0.0005425966044972946,438.8258549147539,542.4950677122081,4
19-02-2021,MID00257,flirt_nomoco.nii.gz,0.9548142175023022,23.54217696024465,0.04474307155230385,72.03057754418421,0.0004855433767951253,429.8920352734083,547.6454273693926,2
19-02-2021,MID00257,flirt_ref.nii.gz,1.0,0.0,0.052385115607780336,100.29751841226015,0.000560951459196074,435.5828485289552,537.2489629876104,4
19-02-2021,MID00257,flirt_fnmoco.nii.gz,0.9791042982927364,28.885415553187507,0.046424789233774286,79.13313135979641,0.0005269878674838134,435.3767416945768,543.9109073785991,4
19-02-2021,MID00257,flirt_fnWMmoco.nii.gz,0.9834922021115815,30.02014023178465,0.047983091547691634,82.46574084049378,0.0005296676217410788,436.02985092942816,542.4577022231142,5
20-11-2020,MID00305,flirt_tclmoco.nii.gz,0.993734830793066,33.035042394054265,0.04599905335923384,77.98102571216938,0.0005242415241700847,443.8390535261483,554.4420581875025,4
20-11-2020,MID00305,flirt_tclmocos.nii.gz,0.9941430109240555,33.92538623486061,0.04694203271010831,80.12942545374278,0.0005315649349259617,443.17615009132726,553.733597846672,4
